2025-04-12 19:20:07 - Backend.core.v1.db.init_db - INFO - Creating database tables...
2025-04-12 19:20:07 - Backend.core.v1.db.init_db - INFO - Database tables created successfully
2025-04-12 19:20:07 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 19:45:26 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 19:45:26 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 19:57:59 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 19:57:59 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 19:58:37 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 19:58:37 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:04:46 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:04:46 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:05:29 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:05:29 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:05:57 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:05:57 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:06:26 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:06:26 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:10:44 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:10:44 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:10:55 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:10:55 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:11:19 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:11:19 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:11:37 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:11:37 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:12:13 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:12:13 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:20:34 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:20:34 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:43:28 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:43:28 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:43:56 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 20:43:56 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:41:20 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:41:20 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:41:41 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:41:41 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:41:54 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:41:54 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:42:59 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:42:59 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:43:06 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:43:06 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:43:50 - Backend.core.v1.db.init_db - INFO - Database tables already exist
2025-04-12 21:43:50 - Backend.core.v1.db.init_db - INFO - Database tables already exist
